industry,stock_A,stock_B,corr,coint_p,adf_p,alpha,hedge_ratio,spread_std,n_obs,passes_filter,score
Payments,V,GPN,0.5209478749702913,0.345084581338965,0.15275967355643366,7.731688762807316,-0.4468591399568016,0.11530841379447142,752,False,1.4818358729878351
Banks,JPM,USB,0.626407655067671,0.4310863933868453,0.21155495592151574,-0.3259252014726428,1.5161984841447431,0.13453258722108408,752,False,1.4633021694509571
HealthCare,PFE,MRK,0.4144801428776865,0.25869165803493954,0.10465325735872427,1.3161209449317788,0.4331455146559291,0.11513496367736968,752,False,1.4592060765597084
Communication,CMCSA,T,0.2959474227743014,0.15831566097255567,0.05532172710535256,4.970802578427659,-0.4646017333059884,0.08856091987572554,752,False,1.433131645163165
Autos,F,HMC,0.33926775898261896,0.1985563250399932,0.0739175955091575,1.1743442083894777,0.3748143632255969,0.10884944775751285,752,False,1.4286897656251414
Beverages,PEP,MNST,0.4361780597795324,0.28763223338669336,0.12054178375206304,6.084340846067306,-0.24753662388933506,0.09271215170671603,752,False,1.404118319686567
Autos,TSLA,HMC,0.23716588571989491,0.11141600292814824,0.03502404414445534,10.89053178143552,-1.536629888942433,0.2760770854601741,752,False,1.3957482792470541
Communication,NFLX,DIS,0.20077947634024554,0.07892525810509043,0.02323678917787821,-6.637522153813634,2.366374968949435,0.27172795176149483,752,False,1.381488744864728
Beverages,KDP,STZ,0.360723506587181,0.2312801917642635,0.09051979302081886,2.1793941948164886,0.23924425800022675,0.07266540481602443,752,False,1.3572444471450926
Airlines,AAL,ALK,0.667241167961172,0.47984396604642154,0.24778704648379496,1.1347519020262782,0.376355099625751,0.14346941762143006,752,False,1.3563778482884794
Beverages,TAP,FIZZ,0.28537189637310045,0.16719322452307722,0.059285457123254455,1.3296385914951259,0.710719094248276,0.08175239534376738,752,False,1.3411565320039758
Semiconductors,QCOM,TXN,0.5357195587634624,0.38191647867426515,0.1771374560866263,1.4969452235757217,0.6755185690154999,0.15077025449024,752,False,1.3386280834525737
Beverages,KO,FIZZ,0.3050436363604439,0.18666436354719534,0.06821282158612248,5.829063942762467,-0.43510619943377016,0.06842126026888463,752,False,1.333397414178145
Beverages,STZ,FIZZ,0.2767727090827559,0.16164293391606133,0.05662928477165636,-0.11656481666525309,1.438586483131564,0.11719492922890687,752,False,1.3301681995284094
Beverages,MNST,FIZZ,0.26960937566069615,0.1551590745303073,0.05382463128687208,6.882063070111421,-0.7427897705183728,0.1001277448941205,752,False,1.3293716490631977
Communication,SNAP,PINS,0.44213949557023347,0.3103168312805213,0.1334819620988315,-1.3074904251898665,1.0504356357528544,0.20194636079384326,752,False,1.3090184106095846
Autos,TM,XPEV,0.21368777592200267,0.11163256857762022,0.03555071070765676,5.288234296561519,-0.0139755468985987,0.12429509387759621,752,False,1.286462037868783
Payments,MA,GPN,0.5178933456908004,0.38080389060128295,0.17568716573621518,8.024609024641457,-0.4010954071150614,0.11333756924232236,752,False,1.2665061862037348
Communication,DIS,CMCSA,0.27543548844491106,0.1815980195692669,0.06585101092253288,6.071299802151287,-0.4089862617247615,0.09962598686957493,752,False,1.224267488664502
Autos,TM,HMC,0.7332034487150607,0.551744709394495,0.30255787163709463,3.578965932412345,0.4886635024262773,0.11576261881865747,752,False,1.2200617228426296
Semiconductors,TXN,LRCX,0.5418065520533935,0.40511500029265946,0.19670382935871544,4.628431596926376,0.12707377629074124,0.09733160867127603,752,False,1.2188758979612435
Autos,F,NIO,0.18735617276000507,0.1048052990369378,0.032969680876140106,2.1977929381375434,0.14917158845478085,0.10390640831322613,752,False,1.1989224199572246
Autos,F,RIVN,0.2572177064049543,0.17301295436219016,0.06185797863275906,1.9873056209780713,0.17566477450314255,0.10623155078380897,752,False,1.1845186059810846
Autos,F,LCID,0.2523614923411196,0.17450697148497607,0.06254507670958141,2.4975403415865527,-0.01228029119977414,0.11411630456852735,752,False,1.1549888193600595
Retail,WMT,KR,0.267767326937572,0.19706948473826275,0.07328776944315528,-2.5541591833583297,1.707559712039143,0.12364036533867603,752,False,1.1110087627777654
HealthCare,PFE,LLY,0.1994364937614121,0.13526505436848052,0.04528560041990345,5.946234906360246,-0.39533682020442296,0.09403759774294886,752,False,1.107686671939319
Communication,NFLX,T,0.061425093148762336,0.0015697475062122301,0.00024962024042018575,-0.3574746009078993,1.5245116644715662,0.13101807740849938,752,False,1.0899491512922956
Autos,TM,NIO,0.16063003338262694,0.10519534699246663,0.03306087988809353,5.460644537152001,-0.12054638928051586,0.11828807422634113,752,False,1.0758367525120747
Communication,GOOGL,CMCSA,0.11146965788864213,0.0736607049813442,0.02141987986940736,11.642788774593178,-1.8151938366361993,0.15962965422243863,752,False,0.9997943261416455
Communication,T,VZ,0.7270542852169054,0.5800999124654835,0.33277318121975863,-3.980501910130588,1.8988549259345993,0.13893498761598205,752,False,0.9896015588346867
Energy,COP,EOG,0.8399554652780952,0.6568492220393762,0.4095603313656482,-0.44130654629692856,1.0635190206974166,0.07862103987025491,752,False,0.9722155225231705
Retail,LOW,ROST,0.4215182231501762,0.36094049820563123,0.16453765582719304,3.920137262696656,0.3100595341675234,0.0725165531210838,752,False,0.9349044813452981
Autos,RIVN,XPEV,0.2962779194109818,0.260678573946223,0.10588215080395058,2.106028047321961,0.21419238464612245,0.22696522052590434,752,False,0.9110247697651795
Communication,META,CMCSA,0.15729235989213458,0.14527006577218593,0.0519523004777227,11.940247320495146,-1.6077346295867585,0.23129882069295574,752,False,0.8588795845997177
Communication,NFLX,TMUS,0.07735974729756877,0.0769149394005894,0.022560343219937853,-4.452310973414249,1.6645915222768917,0.1542511506012849,752,False,0.8297997832078252
HealthCare,BMY,GILD,0.3857417147438734,0.3543028605359164,0.16001564227905885,3.6387995317894983,0.07133197829102578,0.12448783133807391,752,False,0.8106889735909091
Banks,WFC,USB,0.7069127975218521,0.5933032752057446,0.34527121992799736,-1.423762063121604,1.4742421731694622,0.12967646208618655,752,False,0.8093452065798787
Semiconductors,NVDA,TXN,0.3145876798654532,0.29685769507862936,0.12397981543748665,-11.550362749454457,3.108177565917096,0.43357635538286293,752,False,0.8083577473106254
Communication,GOOGL,SNAP,0.35657969968738906,0.3314668703474206,0.14642744007234537,6.573080699996941,-0.607018834073326,0.24004263326500486,752,False,0.8031666074936745
Autos,TSLA,LCID,0.3223504122641623,0.3053492884406941,0.13072019508516036,6.727137590595335,-0.3315146922299057,0.2507208862326638,752,False,0.7911696353687591
Retail,DLTR,HD,0.3070648420499038,0.29480070465914165,0.12482246981876971,12.899338662378035,-1.4040758208496298,0.20635481404319742,752,False,0.7781039004695199
Autos,HMC,XPEV,0.1834973475439629,0.1891474811364705,0.06940220679519793,3.6199596356699235,-0.07467763966233898,0.08902061360451684,752,False,0.768490744660271
Autos,F,XPEV,0.16574973495363035,0.17336537721046014,0.06203546783676984,2.5236932204588616,-0.02517391869498331,0.11393880984339154,752,False,0.7670505735153018
Energy,XOM,MPC,0.5908425329513911,0.5210032339301103,0.2808433229468086,2.5428308487982676,0.43135399810485886,0.0769314917408271,752,False,0.7535418190376291
Retail,DG,HD,0.18098965095877328,0.19084273539731034,0.07017395048141342,14.087254038795898,-1.5879867607641724,0.20702416239994106,752,False,0.7486561385946456
HealthCare,LLY,REGN,0.30571718281152244,0.2996757943023287,0.12708630662085074,6.081858879770579,0.08115487280434053,0.23737404778627677,752,False,0.7475536852819659
Energy,COP,PSX,0.6755477988092994,0.5868182278430369,0.33904791190582495,3.0848763262216288,0.3248592420038241,0.10246935077362881,752,False,0.7106955580338622
Communication,CMCSA,VZ,0.281737319830098,0.289652145608956,0.1218535636370291,6.331448230844138,-0.7501797012102935,0.11926785488377915,752,False,0.6908553037305691
Energy,COP,VLO,0.6182089297294358,0.5521954015002255,0.3075932538402053,3.8358753121129183,0.16598487333186807,0.10840913301752682,752,False,0.6781283420331048
Communication,NFLX,SNAP,0.17787055275840358,0.2038418450026474,0.07609345785288837,5.582762109429629,-0.5678701968345878,0.3443627661382492,752,False,0.6697658938326779
HealthCare,BMY,AMGN,0.4236452945678128,0.41114747170351074,0.19756454150638458,5.6493109858477695,-0.2970854907343137,0.12029263407962419,752,False,0.6585772824951379
Semiconductors,LRCX,KLAC,0.8969541161441016,0.7332888035117116,0.4990094590744421,-2.4602907193101764,1.0572497807436685,0.11985997017792477,752,False,0.6569416890510873
Communication,NFLX,CMCSA,0.10147081834764696,0.13957987143596523,0.04704235845751397,11.656785127676635,-2.0726347579532085,0.24940424882405426,752,False,0.641762796047784
Autos,RIVN,TM,0.14708068544790467,0.18231027925671534,0.06616705639550385,4.681179164774063,-0.3822934442738841,0.2356843079519625,752,False,0.6374747938779631
HealthCare,ABBV,AMGN,0.4331818523755325,0.4225550242293146,0.20550487354911895,-0.29488122762546,0.9670655115545141,0.10295327452959267,752,False,0.6353862473899284
Retail,HD,LOW,0.8673463295739032,0.7191166428407145,0.48217247863218904,0.7826499275135888,0.9328017478624986,0.054513600623162954,752,False,0.6297682136053206
Energy,CVX,HAL,0.680447566829616,0.6021684608004156,0.3541446836132934,4.456844707057789,0.17354507735349856,0.06862799006989477,752,False,0.6277968591343299
Beverages,PEP,KDP,0.5291790564034026,0.49754977435985065,0.2614630585028759,4.012531168294039,0.3079672925786632,0.09523247446807168,752,False,0.6209383647549536
Retail,KR,TJX,0.13372164938234624,0.17687416431685976,0.06364203523862375,0.7999837172461142,0.685431361483654,0.08252494139726863,752,False,0.6040074342861308
Airlines,AAL,LUV,0.6253410999410822,0.574154382967657,0.3275656281070376,1.4233952654261746,0.33283311458523634,0.15189141562864822,752,False,0.5658558776823238
Semiconductors,QCOM,LRCX,0.6092146860321338,0.5642452133378595,0.3179737731014568,4.378714893272221,0.1396349230731131,0.1584846562048868,752,False,0.5599162280736925
Communication,VZ,TMUS,0.438825977312247,0.43968239185819635,0.21806161339681535,1.8247536673286184,0.3573619616792465,0.06742405283592988,752,False,0.5588979789120321
Autos,TSLA,XPEV,0.22830247599591608,0.26939889461866096,0.11059215887148421,4.012002128154689,0.611314491968896,0.2132032165977869,752,False,0.5560930890290662
Energy,COP,MPC,0.6294974183652865,0.578680442492344,0.331553903264917,3.8713374939396914,0.15538994788986482,0.10948133097746869,752,False,0.5553769898624669
Communication,META,TMUS,0.04467458328443167,0.10379498623703964,0.0325850512803434,-0.9022360200698252,1.3572415184182232,0.15013309762456117,752,False,0.5553041682790805
HealthCare,LLY,GILD,0.14309671212539785,0.19593365702159588,0.07236702346682466,4.215307268940215,0.5310931059044055,0.20285914091208013,752,False,0.5515599499983482
Autos,TSLA,GM,0.2480130733118477,0.28788576536583294,0.12075436763288483,2.5255540348644807,0.8024431532688485,0.2114953103754806,752,False,0.5474432402321371
Payments,V,AXP,0.5096895293835374,0.49729206442838175,0.2614444377562774,3.1131329568526525,0.46550112826860257,0.06248478100804081,752,False,0.5333060454982188
Autos,RIVN,STLA,0.2198798764276217,0.2765938729466637,0.11453906896653954,2.5855070167681067,0.033225719565224576,0.2401146652303589,752,False,0.4796211209594602
Communication,META,T,-0.06001753953731592,0.018532492402136575,0.004187500942776796,2.534653106940368,1.2108326944949326,0.15028705485953264,752,False,0.46706013819800574
Energy,PSX,HAL,0.6332013511776774,0.5978229457524831,0.3497148500671678,4.1589812694293915,0.2039225113800498,0.13701183941395573,752,False,0.4434228091227631
HealthCare,AMGN,BIIB,0.48982173127209283,0.49743481013481866,0.26188282263010815,6.51110505249704,-0.1585544327526902,0.11411795360575874,752,False,0.4409872962554231
Airlines,AAL,RYAAY,0.42275002401151224,0.4477628981334655,0.2236900719591936,2.5165869217738255,0.014550271021378514,0.1607546416171178,752,False,0.4387062772587752
